priorityTier,priorityScore,priorityReasons,missingFields,playerId,playerName,position,team,season,college,collegeConference,collegeGames,collegePassingAttempts,collegeCompletions,collegePassingYards,collegePassingTouchdowns,collegeInterceptions,collegeRushingAttempts,collegeRushingYards,collegeRushingTouchdowns,collegeTargets,collegeReceptions,collegeReceivingYards,collegeReceivingTouchdowns,collegeSoloTackles,collegeAssistedTackles,collegeTotalTackles,collegeTacklesForLoss,collegeSacks,collegeInterceptionsDef,collegePassesDefended,collegeForcedFumbles,collegeFumbleRecoveries,source,sourceLabel,sourceConfidence
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",,f51932b4-fd98-4c6c-867e-3430fefd190c,Adam Randall,RB,BAL,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",,814fee31-8a82-4cd5-aefe-348459d972da,Al-Jay Henderson,RB,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",,0da51590-3c6a-4cf4-b513-fdfb77be179e,Anderson Castle,RB,IND,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",,0c6da4f8-b2bc-4c1d-b945-cb2781016595,Anthony Hankerson,RB,MIA,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",,ddf8e376-b621-4aa6-82f7-a3813733f87c,Cash Jones,RB,ATL,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
